ID,開催年,開催日,開催終了日,カテゴリー,コンベンション名,規模,参加者予定数,開催地,開催場所
75,2025,11月15日,11月16日,会議・大会,第20回ムギ類研究会,全国,120 ,永平寺町/福井市,福井県立大学永平寺キャンパス/繊協ビル
76,2025,11月17日,11月18日,会議・大会,北信越シルバー人材センター連絡協議会　職員研修会、経験交流会,ブロック,50 ,福井市,未定
77,2025,11月20日,11月21日,会議・大会,北信越ブロッククラブネットワークアクション2025　情報交換会,全国,150 ,福井市,ハピリンホール・ハピテラス
78,2025,11月22日,11月23日,会議・大会,第25回全国山羊サミット北陸大会,全国,200 ,福井市,福井県県民ホール（AOSSA 8F）
79,2025,11月22日,11月24日,会議・大会,第72回土木計画学研究発表会,全国,"1,300 ",福井市,福井工業大学/フェニックス・プラザ
80,2025,11月27日,11月28日,会議・大会,令和7年度東海北陸ブロック地域包括・在宅介護支援センター協議会 福井大会,ブロック,150 ,福井市,福井県県民ホール/福井市地域交流プラザ
81,2025,11月28日,11月30日,会議・大会,第9回日本安全運転医療学会学術集会　敦賀大会,全国,300 ,敦賀市,プラザ萬象
82,2025,12月4日,12月5日,会議・大会,令和7年度 東海北陸地区農協青年組織協議会ＪＡ東海北陸青年大会,全国,200 ,福井市,ザ・グランユアーズ フクイ/福井県農業会館
83,2025,12月5日,12月6日,会議・大会,令和7年度園芸学会北陸支部大会,ブロック,70 ,福井市,福井県県民ホール/福井市地域交流プラザ
84,2025,12月6日,12月7日,会議・大会,地域福祉実践研究フォーラム2025 in 福井,ブロック,100 ,未定,未定
85,2025,12月7日,12月9日,会議・大会,第38回全日本自閉症支援者協会研究大会,全国,260 ,福井市,ザ・グランユアーズ フクイ
86,2026,2月20日,2月22日,会議・大会,学校改革実践研究福井ラウンドテーブル2026 Spring Session,全国,450 ,福井市,福井大学文京キャンパス
87,2026,2月27日,3月1日,会議・大会,第59回日本痛風・尿酸核酸学会総会,全国,400 ,福井市,福井県県民ホール/福井市地域交流プラザ
88,2026,3月15日,3月17日,会議・大会,福井あじさいロータリークラブ25周年式典,国際,150 ,福井市/あわら市,ザ・グランユアーズ フクイ/グランディア芳泉
1,2026,4月16日,4月18日,会議・大会,第112回日本消化器病学会総会,全国,"5,000 ",福井市,コートヤード・バイ・マリオット他
2,2026,6月頃開催予定,,会議・大会,東海北陸ブロック民生委員・児童員関係事業会議,ブロック,60 ,福井市,未定
3,2026,7月頃開催予定,,会議・大会,北信越シルバー人材センター連絡協議会　定期総会、役員・事務局長研修,ブロック,100 ,未定,未定
4,2026,8月29日,8月31日,会議・大会,第14回日本DOHaD学会,ブロック,150 ,福井市,福井県県民ホール
5,2026,9～10月頃開催予定,,会議・大会,東海北陸地区子ども会育成研究協議会,ブロック,200 ,未定,未定
6,2026,10月2日,10月3日,会議・大会,第41回地方自治研究全国集会 福井自治研（仮称）,全国,"2,000 ",福井市,福井県県民ホール/福井市地域交流プラザ
7,2026,10月10日,10月11日,会議・大会,第25回東海北陸作業療法学会,ブロック,600 ,福井市,福井県県民ホール
8,2026,10月22日,10月23日,会議・大会,第61回東海・北陸地区小学校長会教育研究福井大会,ブロック,660 ,福井市/福井市/福井市//,フェニックス・プラザ/福井県県民ホール/福井県国際交流会館
9,2026,11月頃開催予定,,会議・大会,令和7年度近畿地方発明表彰,ブロック,300 ,福井市,未定
10,2026,11月頃開催予定,,会議・大会,北信越シルバー人材センター連絡協議会　職員研修会、経験交流会,ブロック,60 ,未定,未定
11,2026,11月10日,11月12日,会議・大会,全国不動産会議,全国,"1,300 ",福井市,コートヤード・バイ・マリオット/フェニックス・プラザ
12,2026,11月19日,11月20日,会議・大会,日本保育協会全国大会 福井大会,全国,500 ,福井市,コートヤード・バイ・マリオット福井
13,2026,11月26日,11月28日,会議・大会,第47回日本臨床薬理学会,国際,"1,800 ",福井市,福井県県民ホール/福井市地域交流プラザ/ハピリンホール・ハピテラス
14,2027,2月13日,2月14日,会議・大会,建築士会東海北陸ブロック会 青年建築士協議会・女性建築士協議会 令和8年度ブロック福井大会（仮称）,ブロック,140 ,福井市,未定
